Tournament,Date,Court,Surface,Round,Best of,Player_1,Player_2,Winner,Rank_1,Rank_2,Pts_1,Pts_2,Odd_1,Odd_2,Score,y,year,rank_diff,pts_diff,odd_diff,h2h_advantage,last_winner,surface_winrate_adv
Mondial Australian Women's Hardcourts,2006-12-31,Outdoor,Hard,1st Round,3,Sequera M.,Ivanova E.,Sequera M.,103,183,280,148,1.66,2.1,6-4 6-2 ,1,2006,80,132,0.44000000000000017,0,,0.0
Mondial Australian Women's Hardcourts,2006-12-31,Outdoor,Hard,1st Round,3,Ferguson S.,Sugiyama A.,Ferguson S.,184,26,146,716,5.0,1.14,7-6 6-4 ,1,2006,-158,-570,-3.8600000000000003,0,,0.0
Mondial Australian Women's Hardcourts,2006-12-31,Outdoor,Hard,1st Round,3,Camerin M.E.,Vesnina E.,Vesnina E.,50,47,426,445,2.25,1.57,3-6 2-6 ,0,2006,-3,-19,-0.6799999999999999,0,,0.0
Mondial Australian Women's Hardcourts,2006-12-31,Outdoor,Hard,1st Round,3,Hingis M.,Bammer S.,Hingis M.,7,49,2018,430,1.08,6.5,6-0 6-2 ,1,2006,42,1588,5.42,0,,0.0
Mondial Australian Women's Hardcourts,2006-12-31,Outdoor,Hard,1st Round,3,Benesova I.,Bremond S.,Bremond S.,58,40,402,521,2.0,1.72,6-0 4-6 2-6,0,2006,-18,-119,-0.28,0,,0.0
Mondial Australian Women's Hardcourts,2006-12-31,Outdoor,Hard,1st Round,3,Golds S.,Castano C.,Castano C.,599,54,20,420,5.0,1.14,3-6 4-6 ,0,2006,-545,-400,-3.8600000000000003,0,,0.0
Mondial Australian Women's Hardcourts,2007-01-01,Outdoor,Hard,1st Round,3,Peng S.,Stosur S.,Stosur S.,55,29,419,685,2.62,1.44,7-5 2-6 1-6,0,2007,-26,-266,-1.1800000000000002,0,,0.0
Mondial Australian Women's Hardcourts,2007-01-01,Outdoor,Hard,1st Round,3,Kirilenko M.,Pennetta F.,Kirilenko M.,30,28,637,692,2.37,1.53,6-1 6-2 ,1,2007,-2,-55,-0.8400000000000001,0,,0.0
Mondial Australian Women's Hardcourts,2007-01-01,Outdoor,Hard,1st Round,3,Bovina E.,Pratt N.,Pratt N.,1431,77,2,344,2.25,1.57,2-6 7-6 1-6,0,2007,-1354,-342,-0.6799999999999999,0,,0.0
Mondial Australian Women's Hardcourts,2007-01-01,Outdoor,Hard,1st Round,3,Ivanovic A.,Vinci R.,Ivanovic A.,14,85,1053,324,1.19,4.0,7-5 6-1 ,1,2007,71,729,2.81,0,,0.0
Mondial Australian Women's Hardcourts,2007-01-01,Outdoor,Hard,1st Round,3,Groenefeld A.L.,Garbin T.,Garbin T.,19,38,922,529,1.72,2.0,6-7 7-6 3-6,0,2007,19,393,0.28,0,,0.0
Mondial Australian Women's Hardcourts,2007-01-01,Outdoor,Hard,1st Round,3,Poutchkova O.,Fedak Y.,Poutchkova O.,39,80,525,334,1.5,2.5,6-7 7-6 6-3,1,2007,41,191,1.0,0,,0.0
Mondial Australian Women's Hardcourts,2007-01-01,Outdoor,Hard,1st Round,3,King V.,Srebotnik K.,Srebotnik K.,60,23,398,819,2.37,1.53,4-6 3-6 ,0,2007,-37,-421,-0.8400000000000001,0,,0.0
Mondial Australian Women's Hardcourts,2007-01-01,Outdoor,Hard,1st Round,3,Li N.,Zahlavova S.,Li N.,21,156,875,176,1.16,4.5,6-0 6-4 ,1,2007,135,699,3.34,0,,0.0
Mondial Australian Women's Hardcourts,2007-01-01,Outdoor,Hard,1st Round,3,Shaughnessy M.,Peer S.,Peer S.,37,20,531,894,3.5,1.25,1-6 7-5 0-6,0,2007,-17,-363,-2.25,0,,0.0
ASB Classic,2007-01-01,Outdoor,Hard,1st Round,3,Sun T.T.,Baker L.,Sun T.T.,81,272,332,90,1.33,3.0,6-1 6-1 ,1,2007,191,242,1.67,0,,0.0
ASB Classic,2007-01-01,Outdoor,Hard,1st Round,3,Daniilidou E.,Kostanic J.,Daniilidou E.,36,51,538,422,1.36,2.87,6-3 4-6 6-1,1,2007,15,116,1.51,0,,0.0
ASB Classic,2007-01-01,Outdoor,Hard,1st Round,3,Johansson M.,Laine E.,Laine E.,140,74,204,349,2.37,1.53,6-7 1-6 ,0,2007,-66,-145,-0.8400000000000001,0,,0.0
ASB Classic,2007-01-01,Outdoor,Hard,1st Round,3,Razzano V.,Kanepi K.,Razzano V.,88,78,319,343,1.83,1.83,7-6 6-1 ,1,2007,-10,-24,0.0,0,,0.0
ASB Classic,2007-01-01,Outdoor,Hard,1st Round,3,Tu M.,Erakovic M.,Erakovic M.,90,162,312,171,1.5,2.5,3-6 6-4 5-7,0,2007,72,141,1.0,0,,0.0
ASB Classic,2007-01-01,Outdoor,Hard,1st Round,3,Perry S.,Pin C.,Pin C.,44,75,455,349,1.5,2.5,3-6 7-5 2-6,0,2007,31,106,1.0,0,,0.0
ASB Classic,2007-01-01,Outdoor,Hard,1st Round,3,Bartoli M.,Morita A.,Bartoli M.,18,180,951,152,1.16,4.5,7-6 6-3 ,1,2007,162,799,3.34,0,,0.0
ASB Classic,2007-01-01,Outdoor,Hard,1st Round,3,Loit E.,Birnerova E.,Loit E.,56,84,418,324,1.72,2.0,6-1 6-1 ,1,2007,28,94,0.28,0,,0.0
ASB Classic,2007-01-01,Outdoor,Hard,1st Round,3,Nakamura A.,Craybas J.,Craybas J.,57,70,405,365,1.83,1.83,5-7 2-6 ,0,2007,13,40,0.0,0,,0.0
ASB Classic,2007-01-01,Outdoor,Hard,1st Round,3,Myskina A.,Dulko G.,Dulko G.,16,59,1000,401,1.22,3.75,1-6 7-6 2-6,0,2007,43,599,2.5300000000000002,0,,0.0
ASB Classic,2007-01-02,Outdoor,Hard,1st Round,3,Meusburger Y.,Bychkova E.,Meusburger Y.,135,76,210,345,1.72,2.0,7-5 6-0 ,1,2007,-59,-135,0.28,0,,0.0
Mondial Australian Women's Hardcourts,2007-01-02,Outdoor,Hard,1st Round,3,Safina D.,Likhovtseva E.,Safina D.,11,43,1390,462,1.28,3.25,6-3 6-2 ,1,2007,32,928,1.97,0,,0.0
Mondial Australian Women's Hardcourts,2007-01-02,Outdoor,Hard,2nd Round,3,Li N.,Castano C.,Castano C.,21,54,875,420,1.19,4.0,4-6 6-1 2-6,0,2007,33,455,2.81,0,,0.0
ASB Classic,2007-01-02,Outdoor,Hard,1st Round,3,Schruff J.,Jankovic J.,Jankovic J.,82,12,326,1211,5.5,1.12,3-6 4-6 ,0,2007,-70,-885,-4.38,0,,0.0
Mondial Australian Women's Hardcourts,2007-01-02,Outdoor,Hard,2nd Round,3,Garbin T.,Bremond S.,Garbin T.,38,40,529,521,1.9,1.8,6-3 6-1 ,1,2007,2,8,-0.09999999999999987,0,,0.0
Mondial Australian Women's Hardcourts,2007-01-02,Outdoor,Hard,2nd Round,3,Srebotnik K.,Vesnina E.,Vesnina E.,23,47,819,445,1.5,2.5,3-6 2-6 ,0,2007,24,374,1.0,0,,0.0
Mondial Australian Women's Hardcourts,2007-01-02,Outdoor,Hard,2nd Round,3,Hingis M.,Pratt N.,Hingis M.,7,77,2018,344,1.04,9.0,6-0 6-1 ,1,2007,70,1674,7.96,0,,0.0
ASB Classic,2007-01-02,Outdoor,Hard,1st Round,3,Muller M.,Suarez P.,Suarez P.,34,178,545,155,2.25,1.57,6-3 1-6 1-6,0,2007,144,390,-0.6799999999999999,0,,0.0
ASB Classic,2007-01-02,Outdoor,Hard,2nd Round,3,Craybas J.,Dulko G.,Craybas J.,70,59,365,401,1.72,2.0,6-3 7-5 ,1,2007,-11,-36,0.28,0,,0.0
ASB Classic,2007-01-02,Outdoor,Hard,1st Round,3,Oprandi R.,Granville L.,Granville L.,53,68,421,372,2.1,1.66,3-6 4-6 ,0,2007,15,49,-0.44000000000000017,0,,0.0
ASB Classic,2007-01-02,Outdoor,Hard,1st Round,3,Zvonareva V.,Osterloh L.,Zvonareva V.,24,118,781,258,1.14,5.0,5-7 6-2 6-3,1,2007,94,523,3.8600000000000003,0,,0.0
