Player,Birthdate
Robredo T.,01.05.1982
Tabara M.,25.09.1983
Ryderstedt M.,20.04.1983
Vinciguerra A.,17.11.1981
Verdasco F.,15.11.1983
Pospisil J.,07.02.1986
Ginepri R.,07.02.1983
Oudsema S.,16.09.1985
Spadea V.,19.07.1974
Popp A.,21.03.1987
Youzhny M.,25.06.1982
Haehnel J.,23.02.1988
Ferrero J.C.,12.02.1980
Dlouhy L.,13.01.1986
Berdych T.,17.09.1985
Kim K.,09.07.1984
Acasuso J.,17.08.1982
Almagro N.,21.05.1985
Garcia-Lopez G.,03.12.1983
Lapentti N.,10.06.1977
Nadal R.,03.06.1986
Monaco J.,18.02.1984
Zabaleta M.,04.02.1981
Sluiter R.,17.03.1978
Martin A.,18.04.1982
Calleri A.,14.08.1979
Nieminen J.,22.05.1978
Serra F.,13.10.1975
Moya C.,27.08.1976
Calatrava A.,28.05.1982
Monfils G.,01.09.1986
Bjorkman J.,23.03.1972
Soderling R.,14.08.1984
Mayer F.,05.10.1983
Hernandez O.,29.09.1985
Fraile G.,28.04.1987
Johansson J.,23.02.1980
Vanek J.,12.04.1984
Sabau R.,11.11.1977
Lammer M.,18.07.1985
Koubek S.,12.11.1973
Seppi A.,23.02.1984
Lopez F.,20.09.1987
Andreev I.,27.07.1981
Hernych J.,25.07.1982
Armando H.,11.07.1985
Novak J.,24.04.1984
Starace P.,14.03.1984
Ljubicic I.,19.03.1979
Mello R.,09.03.1980
Horna L.,20.12.1979
Zib T.,25.04.1982
Gaudio G.,09.01.1982
Bastl G.,01.01.1974
Kohlschreiber P.,24.10.1983
Cermak F.,02.08.1976
Massu N.,10.10.1979
Behrend T.,25.04.1979
Sanguinetti D.,10.01.1981
Schuettler R.,22.07.1978
Volandri F.,06.02.1982
Wawrinka S.,28.03.1985
Ferrer D.,02.02.1982
di Mauro A.,07.03.1980
Waske A.,05.10.1985
Elseneer G.,16.07.1983
Mertinak M.,12.07.1984
Reynolds B.,31.07.1985
Carraz G.,24.03.1979
Murray A.,15.05.1987
Morrison J.,07.11.1991
Kucera K.,28.04.1986
Dent T.,13.11.1978
Delic A.,05.09.1984
Moodie W.,15.07.1975
Wang Y.T.,12.08.1989
Vik R.,09.02.1980
Dancevic F.,04.09.1984
Blake J.,28.12.1979
Dupuis A.,18.05.1985
Saulnier C.,24.06.1984
Bracciali D.,23.04.1980
Rusedski G.,06.09.1973
Vico U.,27.09.1983
Goldstein P.,23.07.1981
Norman D.,06.06.1976
Bogomolov A.,27.10.1983
Vemic D.,22.09.1983
Mergea F.,25.02.1985
Wilson B.,20.09.1983
Sargsian S.,29.07.1983
Stepanek R.,22.07.1978
Sanchez D.,23.09.1981
Gonzalez F.,18.07.1980
Vliegen K.,19.10.1984
Ventura S.,31.08.1981
Rochus C.,07.06.1981
Lisnard J.,16.01.1978
Tursunov D.,04.10.1982
Lu Y.,01.08.1986
Brzezicki J.P.,11.10.1983
Ramirez-Hidalgo R.,26.08.1975
Thron A.,17.01.1984
Montanes A.,22.05.1980
Simon G.,28.01.1985
Beck A.,20.08.1986
Summerer T.,05.11.1984
Aldi F.,27.07.1986
Marin J.A.,29.03.1978
Roitman S.,20.05.1977
Benneteau J.,20.12.1981
Thomann N.,07.11.1972
Zitko R.,30.05.1985
Minar I.,12.06.1985
Hanescu V.,21.01.1985
Korteling S.,01.07.1984
Lapentti G.,27.09.1978
Washington M.,13.05.1978
Gambill J.M.,19.10.1977
Young D.,12.02.1989
Biryukov M.,27.04.1991
Kontinen H.,22.12.1986
Vovk S.,28.02.1982
