Player,Birthdate
Abanda F.,16.10.1996
Arconada U.M.,18.03.1997
Babos T.,10.05.1993
Cibulkova D.,06.05.1989
Flipkens K.,10.01.1986
Goerges J.,28.11.1988
Kanepi K.,10.06.1985
Kenin S.,14.11.1998
King V.,01.06.1984
Kovinic D.,03.12.1994
Lisicki S.,22.09.1988
Mladenovic K.,14.05.1993
Muhammad A.,09.03.1990
Nara K.,30.12.1985
Ostapenko J.,08.04.1997
Williams V.,17.06.1970
Abduraimova N.,22.11.1992
Arruabarrena L.,29.01.1990
Diatchenko V.,08.05.1988
Jovanovski B.,01.10.1988
Kustova D.,10.09.1985
Niculescu M.,06.09.1987
Panova A.,04.04.1989
Schmiedlova A.,12.10.1994
Swiatek I.,31.05.2001
Voegele S.,10.03.1990
Zvonareva V.,07.09.1984
Abramovic M.,22.10.1986
Adamczak M.,07.04.1983
Cornet A.,24.09.1990
Kerber A.,18.01.1988
Kudryavtseva A.,28.11.1986
Li N.,27.02.1982
Razzano V.,12.06.1986
Tulyaganova I.,13.07.1982
Vesnina E.,25.08.1986
Afinogenova K.,13.01.1987
Kloesel S.,06.02.1979
Shaughnessy M.,03.09.1978
Ahn K.,18.05.1991
Alexandrova E.,14.11.1994
Bertens K.,10.12.1991
Bogdan A.,28.10.1990
Burrage J.,12.09.1998
Cepelova J.,18.04.1993
Govortsova O.,23.08.1988
Muchova K.,21.08.1996
Pavlyuchenkova A.,03.07.1991
Rybarikova M.,12.05.1988
Strycova B.,28.09.1986
Teichmann J.,15.07.1996
Tomljanovic A.,04.05.1993
Vandeweghe C.,31.12.1991
Williams S.,26.09.1981
Wozniacki C.,11.07.1990
Ahn K.H.,22.08.1992
Kuznetsova S.,27.06.1985
Aiava D.,16.08.2000
Broady N.,25.02.1990
Halep S.,27.09.1991
Keys M.,17.02.1995
Mattek-Sands B.,27.03.1985
Minnen G.,06.07.1994
Paquet C.,19.02.1993
Rybakina E.,17.06.1999
Sabalenka A.,05.05.1998
Siegemund L.,04.02.1988
Stosur S.,30.03.1984
Yastremska D.,15.05.2000
Aksu A.,29.08.1999
Jani R.L.,10.10.1991
Al Nabhani F.,27.02.1985
Garcia C.,16.10.1993
Jankovic J.,01.02.1985
Vekic D.,17.06.1996
Albanese L.,09.04.1987
Harkleroad A.,20.04.1985
Likhovtseva E.,08.09.1975
Zakopalova K.,14.06.1983
Albano S.,04.04.1972
Brianti A.,16.05.1976
Albie A.,08.11.2000
Diyas Z.,10.03.1994
Andreeva M.,31.08.2003
Anisimova A.,31.03.2001
Azarenka V.,31.07.1989
Baptiste H.,18.09.2000
Bara I.,27.12.1989
Barty A.,24.04.1996
Begu I.,26.08.1990
Bektas E.,30.07.1991
Bencic B.,10.03.1997
Blinkova A.,06.09.1998
Bolsova A.,04.10.1997
Bonaventure Y.,10.02.1992
Bondar A.,22.06.1995
Boulter K.,20.05.1996
Brady J.,13.04.1995
Bronzetti L.,05.09.1997
Bucsa C.,21.04.1998
Buzarnescu M.,07.03.1988
Danilovic O.,20.12.2003
Doi M.,29.03.1995
Dolehide C.,18.10.1998
Dulgheru A.,18.02.1988
Errani S.,29.04.1986
Fernandez L.A.,06.09.2002
Ferro F.,02.02.1999
Frech M.,02.02.1997
Friedsam A.L.,29.09.1993
Galfi D.,18.12.1997
Gasparyan M.,06.03.1994
Gauff C.,13.03.2004
Giorgi C.,30.12.1992
Grabher J.,04.09.1996
Haddad Maia B.,30.05.1995
Han N.L.,25.05.1988
Hercog P.,14.09.1990
Hogenkamp R.,14.11.1991
Hontama M.,10.08.1999
Jabeur O.,28.08.1994
Jakupovic D.,14.06.1984
Joint M.,13.09.2001
Kalinskaya A.,06.03.1997
Kasatkina D.,07.05.1997
Kiick A.,15.03.1992
Kontaveit A.,07.12.1995
Kostyuk M.,26.04.2002
Koukalova K.,10.02.1984
Krejcikova B.,18.12.1995
Krueger A.,08.09.1999
Kudermetova P.,24.07.1997
Kudermetova V.,24.04.1995
Kulichkova E.,10.04.1993
Kumkhum L.,07.07.1993
Kvitova P.,08.03.1990
Larsson J.,13.08.1986
Linette M.,14.02.1992
Maria T.,28.08.1994
Martic P.,29.03.1991
Martincova T.,26.02.1994
Masarova R.,07.01.1999
Mcnally C.,07.11.2001
McNally C.,07.11.2001
Mertens E.,17.11.1995
Montgomery R.,15.09.2004
Noskova L.,23.11.2004
Paolini J.,04.01.1996
Parmentier P.,31.01.1986
Parrizas Diaz N.,19.10.1992
Pegula J.,24.02.1994
Pera B.,10.08.1994
Peterson R.,18.04.1997
Petkovic A.,09.09.1985
Pliskova Ka.,21.03.1991
Pliskova Kr.,04.03.1989
Podoroska N.,10.12.1993
Putintseva Y.,07.01.1995
Raducanu E.,13.11.2002
Riera J.,21.12.1993
Riske A.,18.03.1990
Rodina E.,23.05.1987
Rodionova Ar.,22.07.1984
Rus A.,13.12.1990
Sakkari M.,25.07.1995
Samsonova L.,01.11.1998
Sasnovich A.,22.02.1994
Sevastova A.,13.04.1990
Shibahara E.,06.12.1997
Shnaider D.,06.12.2003
Siniakova K.,10.05.1996
Sorribes Tormo S.,12.08.1996
Sramkova R.,27.11.1996
Stearns P.,18.04.1995
Stephens S.,20.03.1993
Suarez Navarro C.,23.03.1988
Sun L.,09.06.1999
Svitolina E.,12.09.1994
Tauson C.,20.12.2002
Tomova V.,06.02.1997
Townsend T.,15.05.1990
Trevisan M.,09.09.1994
Tsurenko L.,25.10.1988
Vedder E.,06.02.2004
Vickery S.,19.09.1991
Wang Q.,14.01.1988
Wang Xin.,08.01.1994
Watson H.,19.12.1989
Werner C.,20.11.1994
Yuan Y.,26.11.1998
Zaja A.,06.02.1992
Zanevska M.,13.04.1993
Zhang S.,20.10.1999
Zheng Q.,22.10.1999
Allertova D.,13.05.1994
Beck A.,17.07.1996
Bouchard E.,25.02.1994
Cetkovska P.,13.12.1984
Dinu C.,17.01.1987
Fett J.,09.04.1995
Ivanovic A.,06.11.1987
Knapp K.,07.10.1984
Konta J.,17.05.1991
Lepchenko V.,21.05.1983
Lucic-Baroni M.,12.03.1982
Makarova E.,07.06.1988
Osaka N.,16.10.1997
Ozaki R.,15.05.1988
Pironkova T.,13.09.1987
Safarova L.,04.04.1987
Tig P.M.,16.01.1988
Vikhlyantseva N.,04.12.1995
Vinci R.,18.02.1982
Allgurin E.,21.04.2002
Dulko G.,30.01.1984
Alves C.,18.01.1992
Avanesyan E.,26.11.1996
Volynets K.,03.12.2001
Amanmuradova A.,23.06.1984
Bammer S.,20.05.1977
Barrois K.,08.10.1982
Bartoli M.,02.10.1984
Benesova I.,10.09.1983
Bychkova E.,25.01.1981
Chan Y.J.,13.02.1982
Chang K.C.,25.10.1985
Cirstea S.,27.05.1990
Craybas J.,03.04.1979
Damayanti A.F.,06.01.1980
Dementieva E.,15.10.1981
Domachowska M.,08.01.1986
Dominguez Lino L.,25.02.1985
Duque Marino M.,18.01.1986
Fujiwara R.,14.10.1984
Georgatou E.,25.03.1978
Gojnea M.,17.04.1983
Jaksic J.,15.02.1985
Johansson M.,05.06.1981
Kleybanova A.,23.06.1989
Krajicek M.,31.03.1984
Majeric T.,09.01.1983
Malek T.,27.12.1979
Mattek B.,27.03.1985
Mchale C.,12.07.1990
Morigami A.,05.08.1978
Morita A.,13.08.1982
Obziler T.,15.11.1977
Paszek T.,05.12.1990
Peng S.,08.01.1984
Pennetta F.,25.02.1982
Petrova N.,08.06.1982
Poutchkova O.,22.08.1986
Puchkova O.,22.08.1986
Radwanska U.,11.12.1994
Rezai A.,15.03.1987
Rodionova A.,22.07.1984
Scheepers C.,19.03.1986
Schiavone F.,23.06.1980
Shvedova Y.,12.09.1987
Sromova H.,02.11.1981
Stevenson A.,11.03.1989
Tanasugarn T.,25.11.1977
Wickmayer Y.,20.10.1989
Wozniak A.,07.09.1988
Zahlavova Strycova B.,19.01.1981
Anderson R.,04.01.1995
Andreescu B.,16.06.2000
Bouzkova M.,21.12.1997
Brengle M.,29.05.1990
Collins D.,13.12.1993
Dart H.,18.10.1991
Garland J.,05.01.1997
Golubic V.,24.08.1992
Hsieh S.W.,04.01.1986
Kalinina A.,04.01.1997
Kartal S.,23.10.2005
Lamens S.,05.10.2002
Muguruza G.,09.10.1993
Niemeier J.,08.08.2000
Osuigwe W.,29.12.1998
Swan K.,24.04.2003
Tan H.,09.01.1992
Urgesi F.,10.03.2000
Vondrousova M.,28.06.1999
Yamaguchi M.,27.01.1994
Andreeva E.,29.07.2007
Burel C.,24.03.2001
Li A.,28.01.2003
Parry D.,31.08.2003
Salkova D.,01.01.2003
Semenistaja D.,16.12.2004
Todoni A.,09.11.2002
Zheng S.,02.06.2003
Badosa P.,15.11.1997
Boisson L.,26.01.1996
Boskovic L.,06.08.2001
Gadecki O.,26.02.2004
Kessler M.,22.07.2001
Korpatsch T.,27.10.1994
Navarro E.,05.07.2001
Noha Akugue N.,30.06.2005
Osorio M.,11.04.2002
Parks A.,24.10.2002
Potapova A.,04.02.2000
Sherif M.,05.10.1994
Uchijima M.,01.12.2003
Wang Xiy.,26.03.2001
Zhu L.,09.06.1997
Andrianjafitrimo T.,10.02.1987
Brancaccio N.,22.06.1998
Ani M.,01.03.1996
Ditty J.,03.08.1980
Garbin T.,30.08.1972
Keothavong A.,16.06.1984
Olaru I.,04.04.1986
Oudin M.,25.09.1991
Peer S.,08.02.1988
Schruff J.,19.06.1977
Voracova R.,10.03.1984
Yakimova A.,23.03.1979
Zahlavova Strycova B..,19.01.1981
Davis L.,17.09.1997
Dodin O.,21.11.1995
Hartono A.,12.07.1999
Kuzmova V.,06.01.1996
Rogers S.,07.04.1990
Saville D.,18.01.2002
Scott K.,24.07.1999
Sharma A.,15.09.1996
Van Uytvanck A.,20.03.1994
Zarazua R.,23.06.1997
Anshba A.,24.08.1998
Antonitsch M.,26.09.1982
Antoniychuk K.,30.04.1990
Aoyama S.,11.11.1984
Cabrera L.,22.05.1996
Appleton E.,11.12.1998
Birrell K.,12.07.1996
Arango E.,20.03.1998
Carle M.,01.11.2001
Cocciaretto E.,28.03.2001
Cristian J.,10.03.1995
Eala A.,13.05.2005
Jovic I.,02.11.2000
Palicova B.,09.11.2001
Ruse E.G.,08.11.1999
Schoofs B.,26.01.1995
Arcangioli M.,11.12.2001
Falconi I.,27.04.2000
Juvan K.,29.11.1999
Arefyeva T.,26.01.1998
Glushko J.,09.07.1990
Kucova K.,26.04.1986
Parra Santonja A.,18.02.1984
Arn G.,01.06.1978
Arvidsson S.,25.05.1982
Birnerova E.,14.03.1984
Bondarenko K.,11.03.1985
Bratchikova N.,30.11.1985
Cadantu A.,27.04.1990
Gallovits E.,30.11.1982
Kirilenko M.,25.01.1990
Koehler M.J.,04.06.1985
Kozlova K.,09.10.1986
Kucova Z.,26.04.1986
Llagostera Vives N.,13.05.1977
Marino R.,02.07.1990
Marosi K.,24.04.1981
Molik A.,21.01.1980
Ondraskova Z.,08.12.1980
Pous Tio L.,05.06.1984
Radwanska A.,07.03.1989
Robson L.,21.01.1994
Savchuk O.,29.05.1988
Sharapova M.,19.04.1987
Sugiyama A.,17.04.1975
Voskoboeva G.,01.09.1984
Zahlavova S.,19.01.1981
Zheng J.,27.10.1998
Bacsinszky T.,08.02.1989
Barthel M.,24.05.1990
Buyukakcay C.,01.09.1990
Chirico L.,18.05.1996
Gavrilova D.,05.03.1994
Hobgarski K.,25.07.1999
Jang S.J.,17.02.1996
Khromacheva I.,17.03.1996
Liu F.,22.03.1997
Min G.,14.03.1997
Minella M.,22.05.1991
Perrin C.,14.06.1998
Plazas J.,04.07.2002
Puig M.,24.09.1995
Schaefer A.,31.07.1982
Witthoeft C.,20.07.1995
Xu S.,14.05.1996
Zidansek T.,13.11.1997
Arruabarrena Vecino L.,29.01.1990
Dentoni C.,21.06.1981
Medina Garrigues A.,31.07.1977
Arruabarrena-Vecino L.,29.01.1990
Hampton J.,01.01.1987
Karatantcheva S.,15.05.1995
Ormaechea P.,07.07.1994
Pervak K.,03.05.1991
Bovina E.,10.04.1983
Bremond S.,28.12.1985
Chakvetadze A.,05.03.1993
Dubois S.,28.10.1993
Dushevina V.,22.08.1986
Erakovic M.,08.02.1988
Foretz S.,20.03.1982
Larcherde Brito M.,14.10.1988
Lucic M.,12.03.1982
Martinez-Sanchez M.J.,12.11.1977
Meusburger Y.,08.08.1983
Pratt N.,11.03.1987
Rolle A.,06.05.1985
Tu M.,04.03.1994
Weinhold A.,07.10.1982
Atik R.,15.12.2000
Augustine B.,15.05.1999
Jeanjean L.,08.05.1978
Krunic A.,15.03.1993
Prisacariu A.,14.11.1998
Saito S.,27.09.1997
Starodubtseva Y.,20.10.1998
Baltacha E.,13.08.1983
Bellis C.,08.09.1998
Clijsters K.,08.06.1983
Cohen Aloro S.,19.05.1978
Daniilidou E.,19.10.1979
Date Krumm K.,26.09.1976
Dellacqua C.,11.02.1985
Fedak Y.,28.11.1978
Gagliardi E.,23.04.1981
Groenefeld A.L.,14.06.1985
Hantuchova D.,23.04.1983
Hlavackova A.,11.03.1986
Hradecka L.,23.05.1985
Kato M.,10.08.1984
Kostanic Tosic J.,06.10.1978
Lapko V.,21.09.1999
Lapushchenkova A.,23.11.1989
Mauresmo A.,05.07.1979
Ngounoue C.,05.11.2005
Oprandi R.,07.05.1986
Perebiynis T.,10.09.1984
Pfizenmaier D.,06.02.1993
Poutchek T.,09.02.1977
Safina D.,27.04.1986
Sonmez Z.,01.04.1979
Stevanovic N.,11.11.1994
Sucha M.,15.06.1978
Sun T.T.,26.07.1997
Szavay A.,29.11.1988
Tatishvili A.,19.10.1990
Vaidisova N.,23.04.1989
Wang Y.,14.01.1994
Zakharova A.,07.01.1997
Baindl K.,04.04.1997
Crawford S.,13.04.1999
Garcia Vidagany B.,15.08.1990
Gibbs N.,05.02.1995
Hibi M.,24.11.1990
Jorovic I.,14.02.1994
Kichenok N.,25.02.1992
Mayr P.,27.03.1987
Remondina A.,05.08.1995
Sanchez A.S.,19.05.1987
Soler Espinosa S.,22.09.1991
Stojanovic N.,17.01.1995
Wang Yaf.,14.01.1994
Yang Z.,02.11.1994
Bachmann A.,12.04.1991
Back D.,13.05.1982
